smiles,Delta_Gibbs
C1=CSC2=C1SSS2,-2.3
CC1=CC(=C)C2=CC=CC=C12,-4.0
C1CCC23CCC2CC3C1,-3.5
COC1=CC2=C(C=CCC=C2)C=C1,-4.0
C1C2=C(CSS1)SC(=S)S2,-2.6
C1=CC=C2C(=C1)SC(=NN=O)S2,-3.5
C1C[C@@H]2C[C@H]1C3C2C=CC3,-3.5
C12=C(SC(=S)S1)SS2,-2.3
C1=C(C=C(C2=C1NC(=O)C(=N2)N)Cl)Cl,-4.1
[2H]C1=CC(=CC2=C1C=C(C=C2)OC)I,-4.0
C=C1C[C@H]2CCCC[C@@H]2C1,-3.6
CC1=C2C=CC(=CC2=C(C=C1)F)OC,-4.4
C=C1[C@H]2CCCC[C@@H]2C(=C)S1,-3.4
CC1C(=C(C2=C1C=C(C=C2)Cl)C)C,-4.3
CC1C(=C(C2=C1C=C(C=C2)C)C)C,-4.5
CC1C(=C(C2=C1C=C(C=C2)OC)C)C,-4.2
CC1=C(C2=C(C1=C)C=C(C=C2)OC)C,-4.5
CC1=CC2=C(C=C1)C(=C(C2=C)C)C,-4.6
C1=C2C(=CC1=O)C(=C(C(=C2Cl)Cl)Cl)Cl,-3.9
C[C@H]1[C@@H](C2=C1CCCCC2)C,-3.9
C1=C2C(=C(N=C1Cl)Cl)NC(=C2Cl)Cl,-4.0
C1=CC2=C(C=C1Cl)C(C(=O)N2Cl)(Cl)Cl,-3.9
CC1=C2C=C(C(=CC2=CC=C1)C)OC,-4.4
CCN1C2=C(SC1=S)SC(=O)S2,-2.8
